White,Red,Green,Blue,Total,color_label
185,167,89,79,220,pink
186,167,91,79,221,pink
184,163,90,80,219,pink
184,163,90,80,219,pink
184,164,90,79,219,pink
184,164,90,79,219,pink
185,165,90,79,221,pink
185,165,90,79,221,pink
186,164,90,79,225,pink
184,164,90,79,219,pink
185,164,90,79,222,pink
185,165,89,79,222,pink
185,166,89,79,221,pink
185,166,89,79,221,pink
185,167,89,79,220,pink
185,167,89,79,220,pink
185,166,89,79,221,pink
185,166,89,79,221,pink
185,167,89,79,220,pink
185,167,89,79,220,pink
185,166,90,79,220,pink
185,167,90,78,220,pink
185,166,90,78,221,pink
185,165,89,79,222,pink
184,163,89,79,221,pink
185,166,89,79,221,pink
185,166,89,79,221,pink
186,166,89,78,225,pink
185,167,89,78,221,pink
185,166,89,78,222,pink
185,166,88,78,223,pink
185,166,89,78,222,pink
185,166,89,78,222,pink
185,166,89,78,222,pink
185,166,90,78,221,pink
185,166,89,78,222,pink
184,166,89,78,219,pink
184,166,89,78,219,pink
184,166,89,78,219,pink
184,166,88,78,220,pink
184,166,88,78,220,pink
184,166,89,78,219,pink
184,166,89,78,219,pink
185,166,89,77,223,pink
185,165,89,77,224,pink
184,164,89,78,221,pink
184,166,89,78,219,pink
184,165,89,78,220,pink
183,164,89,77,219,pink
184,165,89,77,221,pink
184,164,89,77,222,pink
184,166,89,78,219,pink
184,165,89,77,221,pink
184,165,88,78,221,pink
184,163,89,79,221,pink
184,162,89,78,223,pink
184,163,89,78,222,pink
184,162,89,79,222,pink
183,162,89,78,220,pink
184,162,89,78,223,pink
185,164,89,78,224,pink
184,165,88,78,221,pink
185,165,88,78,224,pink
184,166,89,78,219,pink
184,165,89,78,220,pink
184,165,89,77,221,pink
184,165,89,78,220,pink
184,165,89,77,221,pink
184,165,89,78,220,pink
184,165,89,78,220,pink
184,165,88,78,221,pink
184,165,88,78,221,pink
184,165,89,78,220,pink
184,165,88,78,221,pink
184,165,88,78,221,pink
184,165,87,78,222,pink
184,165,88,78,221,pink
184,165,89,77,221,pink
184,165,88,77,222,pink
183,164,88,77,220,pink
183,162,88,78,221,pink
183,162,88,78,221,pink
183,162,88,78,221,pink
184,164,88,77,223,pink
183,165,88,78,218,pink
184,165,88,78,221,pink
184,164,88,78,222,pink
184,165,88,78,221,pink
183,165,88,78,218,pink
183,165,88,77,219,pink
183,165,88,78,218,pink
184,164,88,77,223,pink
184,165,88,78,221,pink
183,165,88,77,219,pink
183,165,88,77,219,pink
183,165,88,77,219,pink
183,164,88,78,219,pink
183,165,89,77,218,pink
184,165,88,77,222,pink
183,164,88,77,220,pink
184,164,88,77,223,pink
183,164,88,77,220,pink
183,165,88,77,219,pink
183,165,87,77,220,pink
184,165,87,77,223,pink
184,165,88,78,221,pink
183,165,88,77,219,pink
183,165,88,77,219,pink
183,161,88,78,222,pink
182,161,88,78,219,pink
182,162,88,78,218,pink
183,161,88,78,222,pink
183,162,88,77,222,pink
182,161,88,78,219,pink
183,163,89,77,220,pink
182,161,88,78,219,pink
182,161,87,77,221,pink
183,164,88,77,220,pink
183,164,88,76,221,pink
183,163,87,77,222,pink
182,161,88,78,219,pink
183,161,88,78,222,pink
183,163,87,77,222,pink
184,162,88,78,224,pink
183,162,87,77,223,pink
184,163,88,77,224,pink
183,163,87,77,222,pink
184,164,88,77,223,pink
183,162,88,77,222,pink
183,164,87,77,221,pink
183,164,87,77,221,pink
183,164,88,77,220,pink
183,164,88,77,220,pink
183,164,88,77,220,pink
183,164,88,77,220,pink
183,164,88,77,220,pink
182,163,88,76,219,pink
182,163,87,77,219,pink
183,162,87,77,223,pink
183,164,88,77,220,pink
183,163,87,76,223,pink
183,163,87,76,223,pink
182,162,87,77,220,pink
182,161,87,77,221,pink
182,161,88,77,220,pink
183,161,87,77,224,pink
182,161,88,77,220,pink
183,161,88,77,223,pink
182,161,88,77,220,pink
182,162,88,77,219,pink
182,161,88,77,220,pink
182,162,87,77,220,pink
182,162,87,77,220,pink
183,164,87,77,221,pink
183,164,87,77,221,pink
183,164,88,76,221,pink
183,164,87,77,221,pink
183,164,88,76,221,pink
183,164,87,77,221,pink
183,164,87,77,221,pink
183,164,87,77,221,pink
183,164,87,77,221,pink
182,164,87,77,218,pink
182,164,87,77,218,pink
183,164,87,77,221,pink
182,164,87,76,219,pink
182,161,87,77,221,pink
182,161,87,77,221,pink
182,162,87,77,220,pink
184,162,87,77,226,pink
183,163,87,76,223,pink
183,163,87,77,222,pink
183,163,87,76,223,pink
183,164,87,77,221,pink
183,163,87,77,222,pink
183,164,87,77,221,pink
183,164,87,77,221,pink
182,164,87,76,219,pink
182,163,87,76,220,pink
182,161,87,77,221,pink
181,163,87,76,217,pink
182,162,87,77,220,pink
181,163,87,76,217,pink
182,162,87,77,220,pink
181,160,87,76,220,pink
182,162,87,77,220,pink
181,160,87,77,219,pink
181,160,87,77,219,pink
183,163,86,77,223,pink
182,164,86,76,220,pink
182,164,87,76,219,pink
182,164,86,77,219,pink
182,164,86,77,219,pink
184,162,87,77,226,pink
182,160,87,77,222,pink
181,161,86,76,220,pink
182,161,87,77,221,pink
182,163,87,77,219,pink
182,163,88,76,219,pink
182,164,88,76,218,pink
182,163,87,76,220,pink
182,162,87,76,221,pink
182,164,87,76,219,pink
182,163,87,76,220,pink
182,161,87,77,221,pink
181,160,87,77,219,pink
182,161,87,76,222,pink
183,163,86,76,224,pink
183,163,87,76,223,pink
183,164,87,77,221,pink
182,164,86,76,220,pink
182,164,87,76,219,pink
182,163,87,76,220,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
182,163,87,76,220,pink
182,160,87,77,222,pink
182,161,87,77,221,pink
182,162,86,76,222,pink
183,161,87,77,224,pink
182,162,86,76,222,pink
182,161,87,77,221,pink
181,160,87,77,219,pink
182,161,87,77,221,pink
181,160,87,77,219,pink
182,163,87,77,219,pink
181,160,87,77,219,pink
183,162,86,76,225,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
182,162,87,77,220,pink
181,160,87,77,219,pink
182,161,87,76,222,pink
182,161,87,76,222,pink
182,163,87,76,220,pink
183,162,86,76,225,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
182,163,87,76,220,pink
182,162,87,76,221,pink
181,160,87,77,219,pink
181,161,86,77,219,pink
181,160,87,76,220,pink
182,162,87,76,221,pink
182,161,87,76,222,pink
183,163,87,77,222,pink
181,161,87,76,219,pink
182,161,87,77,221,pink
181,160,86,77,220,pink
181,160,86,76,221,pink
182,162,87,76,221,pink
181,160,87,76,220,pink
181,160,87,76,220,pink
182,162,86,76,222,pink
182,163,87,76,220,pink
182,163,87,76,220,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
182,163,87,76,220,pink
182,163,87,76,220,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
182,162,86,75,223,pink
182,162,87,77,220,pink
181,160,87,76,220,pink
182,162,87,76,221,pink
182,163,86,76,221,pink
183,162,87,76,224,pink
182,163,86,76,221,pink
182,163,86,76,221,pink
182,163,86,76,221,pink
182,163,86,76,221,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
182,163,87,76,220,pink
182,160,87,77,222,pink
182,162,86,76,222,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
182,163,87,76,220,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
182,163,86,76,221,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
182,163,87,76,220,pink
182,162,86,76,222,pink
181,160,87,76,220,pink
182,162,86,76,222,pink
183,160,87,77,225,pink
181,160,87,76,220,pink
182,162,86,76,222,pink
182,163,86,76,221,pink
182,163,86,76,221,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
182,163,87,76,220,pink
181,160,86,76,221,pink
181,160,87,76,220,pink
181,161,86,76,220,pink
182,163,86,76,221,pink
182,163,86,76,221,pink
182,163,86,76,221,pink
182,163,86,76,221,pink
181,163,87,76,217,pink
182,163,87,75,221,pink
182,163,87,76,220,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
181,160,86,77,220,pink
181,159,87,76,221,pink
180,161,86,76,217,pink
180,159,87,76,218,pink
182,161,87,76,222,pink
182,160,86,76,224,pink
183,162,87,76,224,pink
182,161,86,76,223,pink
182,163,86,76,221,pink
182,163,86,76,221,pink
181,163,86,76,218,pink
182,163,86,76,221,pink
182,163,87,76,220,pink
181,160,86,77,220,pink
181,159,86,77,221,pink
180,161,86,76,217,pink
181,159,86,76,222,pink
181,160,87,76,220,pink
182,162,86,76,222,pink
181,163,86,76,218,pink
182,163,86,76,221,pink
181,163,87,76,217,pink
181,163,87,76,217,pink
181,161,86,76,220,pink
180,159,86,76,219,pink
180,160,86,76,218,pink
182,160,86,76,224,pink
182,162,86,76,222,pink
181,163,87,76,217,pink
181,163,86,76,218,pink
182,163,87,76,220,pink
181,163,86,76,218,pink
181,162,86,76,219,pink
181,159,86,76,222,pink
182,161,86,76,223,pink
182,162,86,76,222,pink
182,162,85,76,223,pink
182,162,87,76,221,pink
181,159,86,76,222,pink
182,162,85,76,223,pink
182,162,86,76,222,pink
181,163,87,75,218,pink
181,160,86,76,221,pink
181,161,86,76,220,pink
182,162,85,76,223,pink
181,162,86,75,220,pink
182,163,86,75,222,pink
182,161,86,76,223,pink
180,159,86,76,219,pink
182,162,86,76,222,pink
181,163,87,75,218,pink
181,162,86,75,220,pink
181,159,86,76,222,pink
181,160,86,76,221,pink
181,159,86,76,222,pink
182,162,85,76,223,pink
181,160,86,76,221,pink
181,162,85,76,220,pink
181,162,87,75,219,pink
182,162,86,75,223,pink
181,163,86,76,218,pink
182,163,86,75,222,pink
181,162,85,76,220,pink
181,162,86,76,219,pink
181,162,86,76,219,pink
181,163,86,76,218,pink
182,163,86,76,221,pink
181,162,86,76,219,pink
181,162,85,76,220,pink
182,162,85,76,223,pink
181,162,86,76,219,pink
181,163,86,76,218,pink
181,161,86,76,220,pink
181,160,86,76,221,pink
182,162,85,76,223,pink
181,163,86,76,218,pink
181,162,86,76,219,pink
181,162,86,76,219,pink
181,162,86,76,219,pink
181,162,86,75,220,pink
182,162,86,76,222,pink
181,159,86,76,222,pink
180,159,86,76,219,pink
182,161,86,76,223,pink
182,160,86,76,224,pink
182,162,85,76,223,pink
181,162,85,76,220,pink
181,162,86,76,219,pink
181,162,85,76,220,pink
181,162,86,76,219,pink
181,162,85,76,220,pink
182,162,85,76,223,pink
181,162,86,76,219,pink
181,162,86,75,220,pink
181,161,86,76,220,pink
180,159,86,76,219,pink
180,159,86,76,219,pink
182,159,86,76,225,pink
181,160,86,76,221,pink
182,161,86,76,223,pink
182,161,85,75,225,pink
181,162,86,76,219,pink
182,161,85,76,224,pink
182,162,86,76,222,pink
181,160,86,76,221,pink
180,159,86,75,220,pink
181,160,86,76,221,pink
180,159,86,76,219,pink
180,159,86,76,219,pink
181,160,85,75,223,pink
181,161,85,75,222,pink
181,162,86,76,219,pink
181,162,86,75,220,pink
181,160,86,76,221,pink
180,159,86,76,219,pink
181,160,86,75,222,pink
182,162,86,76,222,pink
181,161,85,75,222,pink
181,162,86,76,219,pink
181,162,85,75,221,pink
181,162,86,75,220,pink
181,162,86,75,220,pink
181,162,86,75,220,pink
181,162,86,75,220,pink
180,159,86,76,219,pink
181,159,86,76,222,pink
181,162,85,76,220,pink
181,162,86,76,219,pink
181,160,86,76,221,pink
182,162,85,76,223,pink
181,162,86,75,220,pink
181,162,86,75,220,pink
180,159,85,75,221,pink
180,160,85,75,220,pink
181,160,86,76,221,pink
180,159,86,76,219,pink
179,161,86,75,215,pink
180,159,85,76,220,pink
180,159,86,76,219,pink
180,159,86,76,219,pink
181,161,87,76,219,pink
180,159,86,76,219,pink
182,162,85,75,224,pink
181,162,85,76,220,pink
181,162,86,75,220,pink
180,160,86,76,218,pink
180,159,86,76,219,pink
181,159,85,76,223,pink
181,159,86,76,222,pink
180,160,85,75,220,pink
180,159,86,76,219,pink
181,160,86,76,221,pink
182,162,85,76,223,pink
181,162,86,75,220,pink
181,162,86,75,220,pink
181,160,86,76,221,pink
180,159,86,76,219,pink
181,160,85,75,223,pink
182,159,86,76,225,pink
181,160,85,75,223,pink
181,161,85,75,222,pink
181,162,85,75,221,pink
181,162,85,76,220,pink
181,162,85,75,221,pink
181,162,86,75,220,pink
181,162,86,75,220,pink
181,159,86,76,222,pink
180,159,86,76,219,pink
180,159,86,76,219,pink
181,160,86,76,221,pink
182,161,85,75,225,pink
181,162,85,75,221,pink
181,161,85,76,221,pink
181,162,85,75,221,pink
181,162,85,76,220,pink
181,162,86,76,219,pink
181,162,86,75,220,pink
181,162,86,75,220,pink
181,162,86,75,220,pink
181,162,86,75,220,pink
180,160,86,76,218,pink
180,159,86,76,219,pink
181,159,85,76,223,pink
180,159,86,76,219,pink
181,160,86,76,221,pink
181,161,85,75,222,pink
181,162,85,75,221,pink
182,161,85,75,225,pink
181,162,86,75,220,pink
181,162,86,75,220,pink
181,161,85,75,222,pink
180,158,86,76,220,pink
181,160,85,75,223,pink
182,160,86,76,224,pink
181,161,85,75,222,pink
182,159,86,76,225,pink
181,159,86,76,222,pink
181,160,86,76,221,pink
181,161,85,75,222,pink
181,162,85,76,220,pink
182,161,85,75,225,pink
181,162,86,75,220,pink
181,162,86,75,220,pink
181,161,86,76,220,pink
180,158,86,76,220,pink
180,159,86,75,220,pink
181,159,86,76,222,pink
181,161,85,75,222,pink
181,159,86,76,222,pink
180,159,85,76,220,pink
181,159,86,76,222,pink
181,160,86,76,221,pink
181,161,86,76,220,pink
180,159,85,75,221,pink
182,161,85,75,225,pink
181,161,85,75,222,pink
181,162,85,75,221,pink
181,162,85,75,221,pink
181,162,85,75,221,pink
180,160,85,75,220,pink
180,158,85,76,221,pink
181,160,85,76,222,pink
181,161,85,75,222,pink
181,162,85,76,220,pink
181,162,85,75,221,pink
181,162,85,75,221,pink
181,162,86,75,220,pink
181,162,85,75,221,pink
180,160,85,75,220,pink
180,158,86,75,221,pink
180,158,85,75,222,pink
180,158,86,76,220,pink
180,159,85,76,220,pink
180,160,85,75,220,pink
181,161,86,76,220,pink
181,161,85,75,222,pink
181,161,85,75,222,pink
181,162,86,75,220,pink
181,161,85,75,222,pink
180,159,85,75,221,pink
181,161,84,75,223,pink
181,162,85,75,221,pink
181,162,86,75,220,pink
181,161,85,75,222,pink
181,162,86,75,220,pink
181,159,85,75,224,pink
180,158,85,75,222,pink
181,161,85,75,222,pink
181,162,86,75,220,pink
181,161,85,75,222,pink
179,161,85,75,216,pink
180,159,85,76,220,pink
180,158,85,76,221,pink
180,159,85,76,220,pink
180,160,86,76,218,pink
180,158,85,76,221,pink
180,160,84,75,221,pink
181,161,85,75,222,pink
180,162,86,75,217,pink
180,161,85,75,219,pink
180,159,85,76,220,pink
179,159,85,75,218,pink
179,158,85,75,219,pink
181,159,86,76,222,pink
181,160,85,75,223,pink
181,161,85,75,222,pink
181,161,85,75,222,pink
181,161,85,75,222,pink
180,162,85,75,218,pink
180,161,85,74,220,pink
180,159,85,75,221,pink
180,159,85,75,221,pink
180,159,85,76,220,pink
180,158,85,75,222,pink
179,159,85,75,218,pink
179,158,85,75,219,pink
181,160,85,76,222,pink
181,161,85,75,222,pink
180,162,86,75,217,pink
181,161,85,75,222,pink
180,158,86,75,221,pink
180,159,85,75,221,pink
181,161,84,75,223,pink
181,161,85,75,222,pink
181,161,85,75,222,pink
181,161,85,75,222,pink
180,161,85,74,220,pink
180,161,85,75,219,pink
181,161,85,75,222,pink
180,159,85,74,222,pink
179,158,85,76,218,pink
180,160,85,75,220,pink
181,161,84,75,223,pink
180,161,86,75,218,pink
181,161,85,75,222,pink
181,161,85,75,222,pink
180,161,85,75,219,pink
180,161,85,75,219,pink
179,158,85,74,220,pink
180,160,85,75,220,pink
179,158,85,74,220,pink
180,161,85,74,220,pink
179,159,85,75,218,pink
179,158,85,75,219,pink
180,161,85,75,219,pink
180,161,84,75,220,pink
180,161,86,75,218,pink
180,161,85,75,219,pink
181,161,85,75,222,pink
180,161,85,74,220,pink
180,161,85,74,220,pink
180,159,85,74,222,pink
180,161,85,75,219,pink
179,158,85,75,219,pink
179,158,85,75,219,pink
180,160,84,75,221,pink
180,161,84,75,220,pink
181,161,84,75,223,pink
180,161,85,75,219,pink
180,161,85,74,220,pink
180,161,85,74,220,pink
180,161,85,75,219,pink
179,159,85,74,219,pink
180,158,85,75,222,pink
180,160,84,75,221,pink
180,158,85,75,222,pink
181,161,84,75,223,pink
180,161,85,75,219,pink
180,161,85,74,220,pink
181,161,86,75,221,pink
180,161,85,75,219,pink
179,160,85,75,217,pink
179,158,85,75,219,pink
179,158,86,75,218,pink
179,158,85,75,219,pink
180,159,85,75,221,pink
180,160,84,75,221,pink
180,161,85,75,219,pink
180,161,85,75,219,pink
180,161,85,74,220,pink
181,161,85,75,222,pink
180,161,85,75,219,pink
179,159,85,74,219,pink
180,160,85,75,220,pink
179,158,84,74,221,pink
180,161,85,75,219,pink
179,158,85,75,219,pink
179,158,85,75,219,pink
180,160,84,75,221,pink
181,161,84,75,223,pink
180,161,85,75,219,pink
180,161,85,75,219,pink
180,161,85,75,219,pink
180,161,85,74,220,pink
180,160,85,75,220,pink
179,158,85,75,219,pink
179,158,85,75,219,pink
179,158,85,75,219,pink
179,159,85,75,218,pink
179,158,84,74,221,pink
180,161,85,74,220,pink
180,160,85,75,220,pink
179,158,85,75,219,pink
181,161,84,75,223,pink
181,158,85,75,225,pink
179,158,85,75,219,pink
179,160,85,74,218,pink
180,159,84,75,222,pink
179,158,84,74,221,pink
179,158,85,75,219,pink
180,160,84,75,221,pink
180,160,84,75,221,pink
180,161,85,75,219,pink
180,161,85,74,220,pink
180,160,85,75,220,pink
180,161,85,74,220,pink
180,161,85,74,220,pink
180,161,84,75,220,pink
180,161,85,74,220,pink
180,161,85,74,220,pink
180,161,85,75,219,pink
180,161,85,74,220,pink
180,161,85,74,220,pink
180,161,85,74,220,pink
180,160,85,75,220,pink
179,157,85,75,220,pink
180,159,85,75,221,pink
181,160,84,75,224,pink
181,159,85,75,224,pink
180,160,84,75,221,pink
180,161,84,75,220,pink
181,161,84,75,223,pink
180,161,84,75,220,pink
181,161,84,75,223,pink
180,161,85,75,219,pink
180,161,85,75,219,pink
180,161,85,75,219,pink
180,161,84,75,220,pink
180,161,85,75,219,pink
180,161,85,75,219,pink
179,158,85,75,219,pink
179,158,85,75,219,pink
180,158,85,75,222,pink
180,159,85,75,221,pink
179,157,85,75,220,pink
179,158,85,74,220,pink
180,160,85,75,220,pink
179,158,85,75,219,pink
180,160,84,75,221,pink
181,160,84,75,224,pink
180,161,85,75,219,pink
180,161,85,74,220,pink
179,159,85,75,218,pink
179,158,84,75,220,pink
180,160,84,74,222,pink
180,161,85,74,220,pink
180,160,85,74,221,pink
179,157,85,75,220,pink
180,161,84,75,220,pink
180,161,84,75,220,pink
180,161,85,74,220,pink
180,161,85,74,220,pink
179,158,85,75,219,pink
179,158,85,75,219,pink
179,159,84,75,219,pink
180,161,84,75,220,pink
180,161,84,75,220,pink
180,161,85,74,220,pink
179,160,85,75,217,pink
179,158,85,75,219,pink
180,161,84,75,220,pink
180,161,85,74,220,pink
180,161,85,74,220,pink
180,160,85,75,220,pink
179,158,85,75,219,pink
179,158,85,75,219,pink
180,160,85,75,220,pink
181,160,84,75,224,pink
180,160,85,75,220,pink
179,159,84,74,220,pink
180,161,85,75,219,pink
180,161,85,74,220,pink
179,158,85,75,219,pink
179,158,85,75,219,pink
180,160,84,75,221,pink
180,161,84,74,221,pink
180,161,85,74,220,pink
180,160,85,74,221,pink
180,159,85,75,221,pink
179,159,84,74,220,pink
179,158,85,75,219,pink
180,160,85,75,220,pink
179,158,85,75,219,pink
181,160,84,75,224,pink
180,161,85,74,220,pink
179,160,85,75,217,pink
178,158,85,75,216,pink
180,160,84,74,222,pink
180,160,85,74,221,pink
180,161,85,75,219,pink
180,161,85,74,220,pink
180,161,85,74,220,pink
180,159,84,74,223,pink
179,158,84,75,220,pink
179,158,84,75,220,pink
180,160,84,74,222,pink
180,161,85,74,220,pink
180,158,85,75,222,pink
179,159,84,75,219,pink
180,161,84,74,221,pink
180,161,84,74,221,pink
180,161,85,74,220,pink
180,161,85,74,220,pink
180,160,84,74,222,pink
179,158,85,75,219,pink
180,160,84,75,221,pink
179,160,84,74,219,pink
179,158,85,74,220,pink
180,159,85,74,222,pink
180,161,85,74,220,pink
180,160,84,74,222,pink
180,158,85,75,222,pink
179,160,84,74,219,pink
180,161,84,74,221,pink
180,161,85,74,220,pink
180,160,85,74,221,pink
179,158,85,75,219,pink
180,158,85,75,222,pink
180,161,84,74,221,pink
180,161,85,74,220,pink
180,159,85,75,221,pink
179,158,85,74,220,pink
180,161,84,74,221,pink
180,160,85,74,221,pink
180,161,85,74,220,pink
180,159,84,74,223,pink
180,161,85,74,220,pink
180,160,85,74,221,pink
180,161,84,74,221,pink
180,161,85,74,220,pink
180,161,84,75,220,pink
179,161,85,74,217,pink
180,160,84,74,222,pink
180,161,85,74,220,pink
180,160,84,74,222,pink
180,159,84,75,222,pink
179,157,85,75,220,pink
180,158,84,74,224,pink
180,161,84,74,221,pink
180,160,84,74,222,pink
180,161,84,74,221,pink
179,161,84,74,218,pink
180,160,85,74,221,pink
179,158,84,74,221,pink
179,157,85,75,220,pink
179,159,84,74,220,pink
180,160,84,75,221,pink
180,161,85,74,220,pink
179,161,84,75,217,pink
180,161,85,74,220,pink
179,159,85,74,219,pink
179,159,84,74,220,pink
178,157,84,74,219,pink
179,159,84,74,220,pink
178,157,84,74,219,pink
179,157,85,75,220,pink
180,160,84,75,221,pink
180,160,84,74,222,pink
179,161,85,74,217,pink
180,160,84,74,222,pink
179,158,84,75,220,pink
178,160,85,74,215,pink
180,160,84,75,221,pink
179,157,84,75,221,pink
179,158,84,74,221,pink
180,160,85,75,220,pink
180,160,84,74,222,pink
179,161,85,74,217,pink
179,160,85,74,218,pink
180,160,84,75,221,pink
179,159,84,74,220,pink
180,161,85,74,220,pink
180,160,85,74,221,pink
179,158,84,75,220,pink
179,157,84,74,222,pink
179,158,84,75,220,pink
179,159,85,75,218,pink
179,159,84,74,220,pink
180,160,84,74,222,pink
180,160,84,74,222,pink
179,161,84,74,218,pink
179,158,84,75,220,pink
179,158,84,74,221,pink
181,158,85,74,226,pink
180,160,84,75,221,pink
179,161,84,74,218,pink
179,160,85,74,218,pink
179,160,84,74,219,pink
180,160,84,74,222,pink
179,157,85,75,220,pink
178,157,84,75,218,pink
179,157,84,75,221,pink
178,157,84,75,218,pink
179,159,84,74,220,pink
180,160,83,74,223,pink
179,160,85,74,218,pink
179,160,84,74,219,pink
179,160,85,74,218,pink
179,161,85,74,217,pink
179,160,84,74,219,pink
179,160,84,74,219,pink
179,160,85,74,218,pink
179,158,84,73,222,pink
179,160,84,75,218,pink
179,157,84,75,221,pink
179,158,84,74,221,pink
180,160,84,74,222,pink
180,160,85,74,221,pink
179,160,84,74,219,pink
179,160,84,74,219,pink
179,158,84,75,220,pink
179,157,84,75,221,pink
179,157,84,75,221,pink
180,160,85,75,220,pink
179,158,84,75,220,pink
179,158,85,75,219,pink
179,157,85,75,220,pink
179,157,84,74,222,pink
179,159,84,73,221,pink
179,159,84,74,220,pink
179,160,84,74,219,pink
179,157,84,75,221,pink
178,157,84,74,219,pink
179,160,84,74,219,pink
179,160,84,74,219,pink
180,160,84,74,222,pink
179,160,84,74,219,pink
179,158,84,75,220,pink
178,160,84,74,216,pink
178,158,84,75,217,pink
179,157,84,75,221,pink
179,158,84,75,220,pink
179,159,85,75,218,pink
180,159,84,75,222,pink
179,158,85,75,219,pink
179,159,84,74,220,pink
179,160,85,74,218,pink
179,160,85,74,218,pink
179,158,84,75,220,pink
179,157,84,75,221,pink
179,158,85,74,220,pink
179,157,84,75,221,pink
179,158,84,74,221,pink
180,159,85,75,221,pink
179,159,84,74,220,pink
180,160,84,74,222,pink
180,159,84,74,223,pink
180,160,84,74,222,pink
180,160,84,74,222,pink
179,161,84,74,218,pink
179,160,84,74,219,pink
179,160,84,74,219,pink
179,157,85,74,221,pink
179,159,83,74,221,pink
180,161,84,74,221,pink
180,160,84,74,222,pink
179,160,84,74,219,pink
180,161,84,74,221,pink
179,160,85,74,218,pink
180,160,84,74,222,pink
179,157,84,75,221,pink
178,157,84,75,218,pink
179,157,84,74,222,pink
179,158,84,74,221,pink
180,160,84,74,222,pink
180,158,84,74,224,pink
180,160,84,74,222,pink
179,160,84,74,219,pink
179,160,85,74,218,pink
179,159,84,74,220,pink
179,160,84,74,219,pink
179,157,84,75,221,pink
178,157,85,75,217,pink
179,158,84,74,221,pink
179,160,84,74,219,pink
179,160,84,74,219,pink
179,160,84,74,219,pink
179,160,85,74,218,pink
179,159,84,73,221,pink
179,157,84,75,221,pink
180,159,84,74,223,pink
180,160,84,74,222,pink
179,160,85,74,218,pink
178,157,84,75,218,pink
179,157,84,74,222,pink
179,157,84,75,221,pink
179,158,84,74,221,pink
180,159,84,74,223,pink
180,161,84,74,221,pink
179,160,84,74,219,pink
179,160,85,74,218,pink
179,158,84,73,222,pink
179,160,84,74,219,pink
179,157,84,75,221,pink
180,159,84,75,222,pink
180,160,83,74,223,pink
180,160,84,74,222,pink
180,160,84,74,222,pink
179,160,84,74,219,pink
179,160,85,74,218,pink
179,159,84,74,220,pink
179,159,84,73,221,pink
179,160,84,74,219,pink
179,160,85,74,218,pink
179,160,84,74,219,pink
179,160,85,74,218,pink
179,160,84,73,220,pink
179,159,84,75,219,pink
178,157,84,74,219,pink
180,160,84,74,222,pink
179,160,85,74,218,pink
179,158,84,74,221,pink
178,157,84,74,219,pink
180,160,84,74,222,pink
180,160,84,74,222,pink
180,160,84,74,222,pink
178,158,84,74,218,pink
178,159,84,74,217,pink
179,157,84,75,221,pink
178,157,84,75,218,pink
179,157,84,75,221,pink
179,157,84,74,222,pink
180,160,84,74,222,pink
179,160,85,74,218,pink
179,160,84,74,219,pink
180,159,84,74,223,pink
179,157,84,74,222,pink
180,159,84,74,223,pink
180,159,84,74,223,pink
180,160,84,74,222,pink
179,160,84,74,219,pink
179,160,85,74,218,pink
179,160,84,74,219,pink
179,159,84,74,220,pink
180,160,84,74,222,pink
179,159,84,74,220,pink
179,160,84,74,219,pink
178,157,84,75,218,pink
179,158,84,74,221,pink
180,160,84,74,222,pink
180,160,85,74,221,pink
179,158,84,75,220,pink
178,159,84,75,216,pink
179,157,84,74,222,pink
180,159,84,74,223,pink
180,160,83,74,223,pink
179,160,84,74,219,pink
179,160,84,74,219,pink
179,160,84,74,219,pink
179,158,84,75,220,pink
179,158,84,74,221,pink
180,160,84,74,222,pink
180,160,83,74,223,pink
179,160,85,74,218,pink
180,160,84,74,222,pink
179,160,85,74,218,pink
179,157,84,74,222,pink
179,160,84,75,218,pink
180,159,84,74,223,pink
180,160,85,74,221,pink
179,160,85,74,218,pink
180,160,84,74,222,pink
180,160,84,74,222,pink
179,157,84,75,221,pink
179,158,84,74,221,pink
180,160,84,74,222,pink
180,160,84,74,222,pink
179,160,85,74,218,pink
179,159,84,73,221,pink
179,157,84,74,222,pink
179,158,85,75,219,pink
178,157,84,75,218,pink
178,157,84,74,219,pink
178,157,84,74,219,pink
179,157,84,74,222,pink
179,159,84,73,221,pink
179,159,84,74,220,pink
179,160,84,73,220,pink
179,159,84,74,220,pink
179,160,84,74,219,pink
178,157,84,73,220,pink
179,158,84,74,221,pink
178,157,84,75,218,pink
179,159,84,74,220,pink
180,160,84,74,222,pink
179,160,84,74,219,pink
179,160,84,74,219,pink
179,160,85,74,218,pink
179,160,84,74,219,pink
179,158,84,73,222,pink
179,159,84,74,220,pink
178,157,84,75,218,pink
179,157,84,74,222,pink
180,160,83,74,223,pink
179,160,84,74,219,pink
179,157,84,75,221,pink
